number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,user_attrs_cv_scores,user_attrs_mean_score,user_attrs_std_score,state
15,1.0,2025-10-17 06:15:31.425637,2025-10-17 06:18:09.053196,0 days 00:02:37.627559,3.13301666255276e-05,dart,0.7311286119263468,0.018895937756163914,0.00010188414331959397,4.183337813569601e-05,10,10,700,tree,0.2762340660491365,uniform,0.2707608135402544,0.9638753996010055,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
16,1.0,2025-10-17 06:18:09.053196,2025-10-17 06:18:09.308007,0 days 00:00:00.254811,0.00015606225848407767,gbtree,0.9956385980717997,0.03421171181170369,1.1690250447079413e-08,0.006903671843563432,4,7,1000,,,,,0.8978413789249612,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
17,1.0,2025-10-17 06:18:09.308007,2025-10-17 06:19:12.207172,0 days 00:01:02.899165,0.0032399328986348255,dart,0.7442157445622907,0.017911955280822973,1.238890889072636e-05,0.0009793817596344572,6,4,400,forest,0.023825157229407756,uniform,0.6298542309753593,0.801283895348451,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
18,1.0,2025-10-17 06:19:12.207172,2025-10-17 06:20:24.612928,0 days 00:01:12.405756,0.02699060691061122,dart,0.5942572915365154,0.09885759827954706,4.198882501266729e-07,0.08863801085512006,4,5,600,tree,0.7289637952647285,uniform,0.24943381016139093,0.8805991604929907,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
19,1.0,2025-10-17 06:20:24.617577,2025-10-17 06:20:24.929584,0 days 00:00:00.312007,1.1769999784176586e-06,gbtree,0.8964369725675054,0.03163866300433793,0.0022114188742919064,0.9544619677859453,7,8,800,,,,,0.7051984933566552,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
20,1.0,2025-10-17 06:20:24.932708,2025-10-17 06:20:25.150609,0 days 00:00:00.217901,0.00029816051040952487,gbtree,0.822821353462357,0.010419876563375794,1.0603503997985909e-07,1.5738440958898618e-05,3,7,400,,,,,0.5158108276738461,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
21,1.0,2025-10-17 06:20:25.154592,2025-10-17 06:20:25.451335,0 days 00:00:00.296743,1.0728836867728128e-08,gbtree,0.5873366638078266,0.22826449042231658,0.251774499857465,0.000701465614891741,3,9,700,,,,,0.6463567920534523,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
22,1.0,2025-10-17 06:20:25.455334,2025-10-17 06:20:25.800341,0 days 00:00:00.345007,9.886882223166784e-08,gbtree,0.5606541860885016,0.15225715557618477,0.8468788956055794,0.0012697505287164379,5,9,800,,,,,0.6394630052141119,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
23,1.0,2025-10-17 06:20:25.803328,2025-10-17 06:20:26.065696,0 days 00:00:00.262368,4.797119945783439e-07,gbtree,0.6322765939187626,0.040369462427675806,0.014130361791943581,0.032647255053262124,4,9,600,,,,,0.5841372178408165,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
24,1.0,2025-10-17 06:20:26.069588,2025-10-17 06:20:26.368591,0 days 00:00:00.299003,2.9936794375887433e-05,gbtree,0.5054307540806646,0.29292813456331085,0.0005244986360912877,7.627495247729336e-07,3,10,800,,,,,0.670018512175047,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
25,1.0,2025-10-17 06:20:26.371595,2025-10-17 06:20:26.606147,0 days 00:00:00.234552,0.005089767678703531,gbtree,0.6976746128250481,0.01501996655295179,0.026369212151215963,0.000250568877952598,5,6,500,,,,,0.75807376652616,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
26,1.0,2025-10-17 06:20:26.609172,2025-10-17 06:21:04.610127,0 days 00:00:38.000955,9.657722757197374e-08,dart,0.6249828115416673,0.05991304045023638,7.669909828209861e-06,4.552976028186671e-08,9,8,300,forest,0.6214742337504002,weighted,0.6098196426645666,0.8151418559413516,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
27,1.0,2025-10-17 06:21:04.613126,2025-10-17 06:21:04.832738,0 days 00:00:00.219612,6.025076612000732e-06,gbtree,0.5497423537744931,0.021229840221662345,7.407446096676214e-05,2.3891542794955544e-05,4,3,700,,,,,0.5844461508386644,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
28,1.0,2025-10-17 06:21:04.835755,2025-10-17 06:21:08.635325,0 days 00:00:03.799570,0.0005202891064984854,dart,0.793531192237451,0.1148760957039279,0.14270886609110092,0.022086875778137175,7,9,100,tree,0.2616596590516236,uniform,0.38684660733426773,0.8602451208258604,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
29,1.0,2025-10-17 06:21:08.637321,2025-10-17 06:21:08.868852,0 days 00:00:00.231531,4.437011342813991e-08,gbtree,0.949505708295669,0.024125874620985553,0.005179479316804636,7.863849287077303e-05,3,5,600,,,,,0.7406216898179805,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
