number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,user_attrs_cv_scores,user_attrs_mean_score,user_attrs_std_score,state
16,0.9967159277504104,2025-10-17 08:11:59.682829,2025-10-17 08:11:59.951769,0 days 00:00:00.268940,0.009035400237218135,gbtree,0.7171574170342241,0.01872990292629747,0.0007244094429938438,4.2208451959285457e-07,5,5,800,,,,,0.812623076024988,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
17,0.9967159277504104,2025-10-17 08:11:59.951769,2025-10-17 08:12:00.152788,0 days 00:00:00.201019,8.02031846460104e-06,gbtree,0.9634214648396023,0.036046969689776935,2.8971093613025048e-05,0.041154889539699854,4,7,500,,,,,0.9118428787116396,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
18,0.9902119412385083,2025-10-17 08:12:00.152788,2025-10-17 08:14:16.458227,0 days 00:02:16.305439,0.15359820292633256,dart,0.6061103792097408,0.013663135752647814,1.8773451914197467e-07,2.6326347347575882e-08,7,10,600,forest,0.518825387486621,uniform,0.9372955480459455,0.7712886602730181,"[0.9950738916256158, 0.9853658536585366, 0.9901960784313726]",0.9902119412385083,0.0039633057762471025,COMPLETE
19,0.9933828394970957,2025-10-17 08:14:16.458227,2025-10-17 08:14:16.709264,0 days 00:00:00.251037,0.0005274253108665837,gbtree,0.7133826526707893,0.03888044409669828,1.0120499658714556e-08,0.000957159615073622,9,3,900,,,,,0.8727342651720443,"[1.0, 0.9950738916256158, 0.9850746268656716]",0.9933828394970957,0.0062094784416386085,COMPLETE
20,0.9967159277504104,2025-10-17 08:14:16.709264,2025-10-17 08:14:16.924981,0 days 00:00:00.215717,3.03955346102695e-05,gbtree,0.8156277859762284,0.07802994537577662,0.00031480921518162397,0.07943133542713925,4,7,700,,,,,0.9947306277660574,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
21,0.9967159277504104,2025-10-17 08:14:16.924981,2025-10-17 08:14:17.161192,0 days 00:00:00.236211,3.776482713923282e-06,gbtree,0.6121965726703635,0.05058000267435672,2.754865335142694e-06,1.179319923620536e-08,5,6,600,,,,,0.9575920094945032,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
22,0.9967159277504104,2025-10-17 08:14:17.161192,2025-10-17 08:14:17.342641,0 days 00:00:00.181449,5.051688226517845e-07,gbtree,0.6721148329848075,0.05323599288128595,6.511845220247648e-06,1.1444538448455935e-07,5,5,400,,,,,0.9589759791493969,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
23,0.9916912972085385,2025-10-17 08:14:17.343222,2025-10-17 08:14:17.621915,0 days 00:00:00.278693,1.5810913871041503e-05,gbtree,0.5832261537247109,0.11528360668532531,3.516795520530919e-07,3.863728379435122e-07,7,3,800,,,,,0.9264308779576004,"[1.0, 0.9950738916256158, 0.98]",0.9916912972085385,0.008508092568953846,COMPLETE
24,0.9967159277504104,2025-10-17 08:14:17.624029,2025-10-17 08:14:17.856895,0 days 00:00:00.232866,0.003199725404351954,gbtree,0.7246575926441934,0.021881358191573323,0.00010258144131720613,2.8696539177369667e-05,5,6,600,,,,,0.8315709811307759,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
25,0.9967159277504104,2025-10-17 08:14:17.856895,2025-10-17 08:14:18.040914,0 days 00:00:00.184019,0.0002104286975996258,gbtree,0.6403482035604093,0.02984033974654216,9.95226224598402e-06,1.4349411328096048e-06,3,4,400,,,,,0.8840019432519681,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
26,0.9967159277504104,2025-10-17 08:14:18.040914,2025-10-17 08:19:12.873151,0 days 00:04:54.832237,9.723680846916562e-08,dart,0.784458604131216,0.010597029654320954,8.337999826824421e-07,3.4802896233061424e-08,6,5,900,forest,0.4699057180996211,uniform,0.653364611255359,0.9661945635380929,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
27,0.9950899900189961,2025-10-17 08:19:12.873151,2025-10-17 08:19:13.023865,0 days 00:00:00.150714,8.872267349004905e-07,gbtree,0.6998742964206176,0.06568654393283699,7.183663733241607e-05,0.0009707916337406995,4,8,500,,,,,0.7949866834933749,"[1.0, 0.9901960784313726, 0.9950738916256158]",0.9950899900189961,0.004002450407742031,COMPLETE
28,0.9967159277504104,2025-10-17 08:19:13.023865,2025-10-17 08:19:13.238577,0 days 00:00:00.214712,8.829584025903264e-06,gbtree,0.5678515439014069,0.04380847419749145,4.499662176896714e-06,8.023487020498612e-05,7,6,700,,,,,0.9992483437747102,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
29,0.9933328382470646,2025-10-17 08:19:13.238577,2025-10-17 08:22:49.994839,0 days 00:03:36.756262,0.0002737258528319219,dart,0.840372472913723,0.015010507801593296,0.010720385102839057,4.534669270301026e-07,5,8,800,tree,0.4924330976412491,weighted,0.05698861422065049,0.8979739020911905,"[1.0, 0.9950738916256158, 0.9849246231155779]",0.9933328382470646,0.006276421337145619,COMPLETE
